geneA,geneB
MAP2K4,FLNC
MYPN,ACTN2
ACVR1,FNTA
GATA2,PML
RPA2,STAT3
ARF1,GGA3
ARF3,ARFIP2
ARF3,ARFIP1
XRN1,ALDOA
APP,APPBP2
